開課班級,課程名稱,選課代號,學分數,必選修,開課單位,開課人數,已收授人數,授課教師
資訊二乙,組合數學,1328,3,O,資訊工程學系,85,86,游景盛
資訊二乙,電子商務安全,1329,3,O,資訊工程學系,85,88,李榮三
資訊二乙,數位信號處理導論,1330,3,O,資訊工程學系,60,50,陳啟鏘
資訊二乙,資訊與網路安全,1313,3,O,資訊工程學系,75,81,劉宗杰
資訊二乙,UNIX應用與實務,1314,2,O,資訊工程學系,80,88,張哲誠
資訊二丙,全民國防教育軍事訓練(二),3780,0,M,資訊工程學系,120,98,余君青
資訊二丙,系統程式,1315,3,M,資訊工程學系,75,80,黃志銘
資訊二丙,資料庫系統,1316,3,M,資訊工程學系,75,77,林明言
資訊二丙,機率論,1317,3,M,資訊工程學系,75,80,游景盛
資訊二丙,系統分析與設計,1321,3,O,資訊工程學系,85,87,蔡明翰
資訊二丙,物件導向設計,1322,3,O,資訊工程學系,80,80,陳錫民
資訊二丙,物件導向設計,1326,3,O,資訊工程學系,75,65,蔡國裕
資訊二丙,物件導向設計實習,1323,1,O,資訊工程學系,80,88,陳錫民
資訊二丙,物件導向設計實習,1327,1,O,資訊工程學系,60,46,蔡國裕
資訊二丙,組合數學,1328,3,O,資訊工程學系,85,86,游景盛
資訊二丙,電子商務安全,1329,3,O,資訊工程學系,85,88,李榮三
資訊二丙,數位信號處理導論,1330,3,O,資訊工程學系,60,50,陳啟鏘
資訊二丙,資訊與網路安全,1324,3,O,資訊工程學系,75,80,劉宗杰
資訊二丙,UNIX應用與實務,1325,2,O,資訊工程學系,60,71,張哲誠
資訊二丁,系統程式,1318,3,M,資訊工程學系,85,88,林志敏
資訊二丁,資料庫系統,1319,3,M,資訊工程學系,85,85,許懷中
資訊二丁,機率論,1320,3,M,資訊工程學系,80,85,劉怡芬
資訊二丁,系統分析與設計,1321,3,O,資訊工程學系,85,87,蔡明翰
資訊二丁,物件導向設計,1322,3,O,資訊工程學系,80,80,陳錫民
資訊二丁,物件導向設計,1326,3,O,資訊工程學系,75,65,蔡國裕
資訊二丁,物件導向設計實習,1323,1,O,資訊工程學系,80,88,陳錫民
資訊二丁,物件導向設計實習,1327,1,O,資訊工程學系,60,46,蔡國裕
資訊二丁,組合數學,1328,3,O,資訊工程學系,85,86,游景盛
資訊二丁,電子商務安全,1329,3,O,資訊工程學系,85,88,李榮三
資訊二丁,數位信號處理導論,1330,3,O,資訊工程學系,60,50,陳啟鏘
資訊二丁,資訊與網路安全,1324,3,O,資訊工程學系,75,80,劉宗杰
資訊二丁,UNIX應用與實務,1325,2,O,資訊工程學系,60,71,張哲誠
資訊三甲,計算機結構學,1331,3,M,資訊工程學系,75,57,張貴忠
資訊三甲,計算機演算法,1332,3,M,資訊工程學系,75,52,黃秀芬
資訊三乙,計算機結構學,1334,3,M,資訊工程學系,75,66,陳烈武
資訊三乙,計算機演算法,1335,3,M,資訊工程學系,75,79,陳青文
資訊三丙,計算機結構學,1337,3,M,資訊工程學系,75,82,陳青文
資訊三丙,計算機演算法,1338,3,M,資訊工程學系,75,76,陳青文
資訊三丁,計算機結構學,1340,3,M,資訊工程學系,75,78,張貴忠
資訊三丁,計算機演算法,1341,3,M,資訊工程學系,75,75,陳烈武
資訊碩一,文獻研討(二),1346,1,M,資訊工程學系,40,25,林志敏
資訊碩一,文獻研討(二),1347,1,M,資訊工程學系,30,21,楊濬中
資訊碩一,資訊專題研討(二),1348,1,M,資訊工程學系,50,34,薛念林
資訊碩一,具體數學,1349,3,O,資訊工程學系,35,38,黃秀芬
資訊碩一,型樣識別,1350,3,O,資訊工程學系,30,11,劉怡芬
資訊碩一,研究報告寫作,1351,2,O,資訊工程學系,30,27,劉明機
資訊碩一,計算機視覺,1352,3,O,資訊工程學系,35,36,蔡明翰
資訊碩一,雲端計算,1353,3,O,資訊工程學系,30,14,林佩君
資訊碩一,無線隨意與感測網路技術與應用,1354,3,O,資訊工程學系,35,10,陳烈武
資訊碩一,知識管理與創新,1355,3,O,資訊工程學系,35,33,劉明機
資訊碩一,資料探勘,1356,3,O,資訊工程學系,35,23,林明言
資訊碩二,敏捷開發,1360,3,O,資訊工程學系,27,21,許懷中
資訊碩二,資訊專題研討(四),1361,1,O,資訊工程學系,40,53,李榮三
資訊碩二,數位影像安全技術專題,1362,2,O,資訊工程學系,30,9,張真誠
資訊博一,資訊專題研討(六),1364,1,O,資訊工程學系,40,3,黃秀芬
資訊博二,資訊專題研討(八),1367,1,O,資訊工程學系,40,3,林志敏
電腦系統學程資訊三,作業系統(二),1967,3,O,資訊工程學系,70,27,黃志銘
電腦系統學程資訊三,超大型積體電路設計導論,1968,3,O,資訊工程學系,70,41,陳德生
軟體工程學程資訊三,地理資訊於APPS之應用,1970,3,O,資訊工程學系,60,34,江庭輝
軟體工程學程資訊三,地理資訊於APPS之應用,2002,3,O,資訊工程學系,60,57,江庭輝
軟體工程學程資訊三,雲端應用系統開發,1971,3,O,資訊工程學系,60,59,林佩君
軟體工程學程資訊三,軟體品質保證與軟體測試,1972,3,O,資訊工程學系,60,59,薛念林
軟體工程學程資訊三,人工智慧概論與實務,1973,3,O,資訊工程學系,66,64,林峰正
軟體工程學程資訊三,人工智慧概論與實務,2004,3,O,資訊工程學系,60,61,張哲誠
網路與資安學程資訊三,電子商務安全,2001,3,O,資訊工程學系,70,67,楊柏遠
資訊跨域學程資訊三,地理資訊於APPS之應用,2002,3,O,資訊工程學系,60,57,江庭輝
資訊跨域學程資訊三,人工智慧概論與實務,2004,3,O,資訊工程學系,60,61,張哲誠
